pen,time period,Species,Study,Diet,average feed intake g/d,"average feed intake, g","ME, kcal/kg",NDF,ADF,NFC,Crude fiber,Starch,CP,Arginine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tryptophan,Valine,Alanine,Aspartic acid,Cystine,Met + Cys,Glutamic acid,Glycine,Proline,Serine,Tyrosine,Phe + Tyr,Ether extract,SFA,MUFA,PUFA,n-3 PUFA,n-6 PUFA,n-3/n-6 ratio,C14,C15:0,C15:1,C16:0,C16:1,C17:0,C17:1,C18:0,C18:1,C18:2 cis n-6 LA,C18:3 cis n-3 ALA,C20:0,C20:1,C20:4n-6 ARA,C20:5n-3 EPA,C22:0,C22:1,C22:6n-3 DHA,C24:0,Ash,Vitamin A IU/kg,beta-carotene,Vitamin D3 IU/kg,Vitamin D3 25-Hydroxyvitamin D,Vitamin E IU/kg,Vitamin K ppm,AST ppm,Thiamin ppm,Riboflavin ppm,Niacin ppm,Pantothenic acid ppm,Pyridoxine ppm,Biotin ppm,Folic acid ppm,Vitamin B12 ppm,Choline ppm,Calcium,Total Phosphorus,Inorganic available P,Ca:P ratio,Na,Cl,K,Mg,S,Cu ppm,I ppm,Fe,Mn,Se,Zn,"average feed intake, g/d",bodyweightgain,akp,alt,gluclose,nefa,pip,tc,tg,trap,uric acid,breast mTOR,breast S6K1,breast 4E-BP1,breast MURF1,breast MAFbx,breast AMPK,liver mTOR,liver S6K1,liver 4E-BP1,liver MURF1,liver MAFbx,liver AMPK,breast PH,breast WHC,breast HARDNESS,breast SPRINGINESS,breast CHEWINESS,breast COHESIVENESS,breast GUMMINESS,breast RESILIENCE,thigh PH,thigh WHC,thigh HARDNESS,thigh SPRINGINESS,thigh CHEWINESS,
1,1-3 weeks,B,broiler chicken DHA,S Control,52.46,1416.42,4157.1927,119.4798145,43.65437601,707.4161108,33.88359074,450.3098271,325.7766,17.70525,4.95747,11.33136,16.99704,15.58062,7.0821,10.198224,11.33136,2.83284,12.74778,16.59332489,34.15892579,6.402794883,11.6297912,57.5606431,14.16036009,19.41461682,16.46804679,11.59587077,28.78021815,73.370556,5.63127967,9.127692251,17.1452691,0.319338263,13.71025609,304.6723575,0.110946693,0,0,4.032527767,0.053012911,0,0,1.122104815,7.496671002,14.1642,1.359022592,0.203239031,0.066503634,0,0,0.086625188,0,0,0.055351966,4670.167333,6373.89,6.82587E-05,637.389,0,10.62387111,1.062315,0,1.487673172,5.31183821,21.24926669,4.250547327,5.312297415,0.212482191,0.531246832,0.00849852,2231.062363,14.1642,11.48432047,6.37389,0,2.83284,2.83284,4.24926,0.849852,3.67702632,16.99704,0.07436205,95.643136,42.49826568,0.1274778,74.36629926,52.46,39.45,244.91,1.666929755,2.840386695,,89.45981555,68.661155,30.41043,,0.134408476,0.439950383,0.990895741,2.645037359,3.201168495,1.08345335,6.072495062,0.807,3.314,3.078,0.18,1.014,0.494,,,,,,,,,,,,,,
2,1-3 weeks,B,broiler chicken DHA,S Control,52.821,1426.167,4185.800145,120.3020069,43.9547807,712.2841477,34.11675842,453.4086042,328.01841,17.8270875,4.9915845,11.409336,17.114004,15.687837,7.130835,10.2684024,11.409336,2.852334,12.835503,16.70751075,34.39398817,6.44685529,11.70982083,57.95674283,14.25780366,19.54821721,16.58137056,11.67566698,28.97826731,73.8754506,5.670030946,9.190503858,17.26325313,0.321535768,13.8046023,306.76894,0.111710165,0,0,4.060277339,0.053377716,0,0,1.129826504,7.548258844,14.26167,1.368374616,0.204637607,0.066961274,0,0,0.087221294,0,0,0.055732866,4702.304779,6417.7515,6.87284E-05,641.77515,0,10.69697857,1.06962525,0,1.497910496,5.348391272,21.39549211,4.279797186,5.348853637,0.213944373,0.534902572,0.008557002,2246.41527,14.26167,11.56334906,6.4177515,0,2.852334,2.852334,4.278501,0.8557002,3.702329532,17.114004,0.074873768,96.30129788,42.79071467,0.12835503,74.878046,52.821,41.95,143.12,2.416055925,2.885096864,431.18115,88.4057971,64.6573575,18.5119,,0.226050618,0.503317037,0.987464486,3.853788383,3.440097506,1.064109804,6.156502776,0.629,2.703,2.361,0.147,1.011,0.454,,,,,,,,,,,,,,
3,1-3 weeks,B,broiler chicken DHA,S Control,50.255,1356.885,3982.457475,114.457836,41.81949421,677.6819795,32.45939483,431.3823935,312.08355,16.9610625,4.7490975,10.85508,16.28262,14.925735,6.784425,9.769572,10.85508,2.71377,12.211965,15.89587385,32.72315699,6.133672452,11.14096753,55.14125274,13.56517148,18.59858117,15.77586145,11.10847285,27.57052732,70.286643,5.394585585,8.744036867,16.42461873,0.305915829,13.13398627,291.8663615,0.106283379,0,0,3.863032462,0.050784671,0,0,1.074940478,7.181570743,13.56885,1.301900122,0.194696483,0.063708351,0,0,0.082984156,0,0,0.05302541,4473.870746,6105.9825,6.53896E-05,610.59825,0,10.1773283,1.01766375,0,1.425143257,5.088570897,20.356117,4.071888219,5.089010801,0.203551134,0.508917452,0.00814131,2137.286295,13.56885,11.00161123,6.1059825,0,2.71377,2.71377,4.070655,0.814131,3.52247346,16.28262,0.071236463,91.62306137,40.71197754,0.12211965,71.24053316,50.255,40.78,,,3.622490662,254.44225,51.38339921,62.255079,41.063765,,,0.408964347,0.657386507,2.497491218,3.768589263,0.781265015,4.066476079,0.574,2.703,2.424,0.084,0.578,0.432,,,,,,,,,,,,,,
4,1-3 weeks,B,broiler chicken DHA,S Control,52.82,1426.14,4185.7209,120.2997294,43.95394855,712.2706628,34.11611252,453.4000204,328.0122,17.82675,4.99149,11.40912,17.11368,15.68754,7.1307,10.268208,11.40912,2.85228,12.83526,16.70719445,34.39333703,6.446733239,11.70959914,57.9556456,14.25753373,19.54784713,16.58105664,11.67544594,28.97771869,73.874052,5.669923602,9.190329864,17.26292631,0.321529681,13.80434096,306.7631323,0.11170805,0,0,4.06020047,0.053376705,0,0,1.129805115,7.548115942,14.2614,1.36834871,0.204633733,0.066960006,0,0,0.087219643,0,0,0.055731811,4702.215756,6417.63,6.87271E-05,641.763,0,10.69677606,1.069605,0,1.497882138,5.348290017,21.39508705,4.279716162,5.348752373,0.213940323,0.534892445,0.00855684,2246.372741,14.2614,11.56313014,6.41763,0,2.85228,2.85228,4.27842,0.855684,3.70225944,17.11368,0.07487235,96.29947471,42.78990456,0.1283526,74.87662842,52.82,40.58,449.67,,2.231291643,463.8469,96.83794466,47.7000975,34.28437,,0.06924073,0.587673714,0.995485901,3.733852709,4.253584306,1.992625516,5.773458679,0.53,1.587,2.642,0.077,0.818,0.348,,,,,,,,,,,,,,
5,1-3 weeks,B,broiler chicken DHA,S Control,59.24562,1599.63174,4694.919157,134.934344,49.30100215,798.9192924,38.26638089,508.556708,367.9153002,19.99539675,5.59871109,12.79705392,19.19558088,17.59594914,7.9981587,11.51734853,12.79705392,3.19926348,14.39668566,18.73964584,38.5773301,7.230986515,13.13408673,65.00602341,15.9919808,21.92586753,18.59816321,13.09577875,32.50289493,82.86092413,6.359677,10.30834515,19.36298319,0.360644174,15.48365654,344.0812565,0.125297476,0,0,4.554129008,0.059870049,0,0,1.26724734,8.466353821,15.9963174,1.534810066,0.229527686,0.075105776,0,0,0.097830023,0,0,0.062511657,5274.246267,7198.34283,7.70879E-05,719.834283,0,11.99805243,1.199723805,0,1.6801014,5.998916281,23.99782653,4.800349061,5.999434884,0.239966434,0.59996279,0.00959779,2519.646834,15.9963174,12.96979959,7.19834283,0,3.19926348,3.19926348,4.79889522,0.959779044,4.152643997,19.19558088,0.083980666,108.014428,47.99535073,0.143966857,83.98546525,59.24562,44.14,327.88,3.423159319,2.326543741,,31.2911726,50.8089285,27.228265,,0.06924073,0.429688119,1.233309823,3.236097526,2.922005989,0.649364402,4.051796101,0.642,2.157,3.791,0.096,1.13,0.281,,,,,,,,,,,,,,
6,1-3 weeks,B,broiler chicken DHA,S Control,53.297,1439.019,4223.520765,121.3861165,44.35088216,718.7029442,34.42420388,457.4945264,330.97437,17.9877375,5.0365665,11.512152,17.268228,15.829209,7.195095,10.3609368,11.512152,2.878038,12.951171,16.85807161,34.70393191,6.504951561,11.81534467,58.47902393,14.38628882,19.72437729,16.7307947,11.78088304,29.23940691,74.5411842,5.721126812,9.273324702,17.4188221,0.324433309,13.92900341,309.533409,0.112716849,0,0,4.096866802,0.053858733,0,0,1.140008012,7.616280488,14.39019,1.380705816,0.206481712,0.0675647,0,0,0.088007294,0,0,0.056235107,4744.679915,6475.5855,6.93478E-05,647.55855,0,10.79337511,1.07926425,0,1.511409018,5.39658866,21.58829903,4.318364867,5.397055191,0.215872347,0.539722883,0.008634114,2266.658992,14.39019,11.66755296,6.4755855,0,2.878038,2.878038,4.317057,0.8634114,3.735693324,17.268228,0.075548498,97.16912351,43.17632608,0.12951171,75.55281456,53.297,40.81,323.28,2.083662194,2.819003571,414.67635,111.5942029,49.254513,51.44039,,,0.451654723,0.843301579,3.14849597,2.328050933,0.930263083,4.682293929,0.418,1.473,2.134,0.085,0.476,0.201,,,,,,,,,,,,,,
1,1-3 weeks,B,broiler chicken DHA,S 1%,52.79562,1425.48174,4183.788907,122.4262591,44.07340081,737.1979885,34.50375558,475.7070437,327.8608002,17.81852175,4.98918609,11.40385392,17.10578088,15.68029914,7.1274087,10.26346853,11.40385392,2.85096348,12.82933566,16.72631907,34.11716351,6.453602013,11.69797072,57.74289117,14.18802218,19.56539831,16.49921132,11.65137599,28.92138805,64.00413013,5.772959833,9.438376156,17.72757232,0.337636041,14.4958407,322.1297934,0.110598732,0,0,4.168958392,0.055292533,0,0,1.140863973,7.832351702,14.2548174,1.368442961,0.213193582,0.069731176,0,0,0.088615163,0,0,0.05852358,4699.620714,6575.747267,161.0794366,641.466783,0,10.6918657,1.069111305,0,1.497860647,5.558219862,22.49410186,5.558219862,5.346800727,0.242066101,0.556454787,0.009929906,2245.335774,14.2548174,11.55779298,6.41466783,0,2.85096348,2.85096348,4.27644522,0.855289044,3.709501482,17.10667124,0.074837791,96.25509086,42.77067885,0.128300142,74.84227378,52.79562,40.56,186.03,2.530161236,2.08290572,,58.2345191,50.761825,18.096835,,0.152736904,0.432713945,0.9257004,3.208117859,3.730435798,0.941812623,5.560573812,0.280789466,1.039130029,1.439669748,0.143551036,0.663616498,0.129436121,,,,,,,,,,,,,,
2,1-3 weeks,B,broiler chicken DHA,S 1%,48.62688,1312.92576,3853.437106,112.7594867,40.59336688,678.9888654,31.77934045,438.1452349,301.9729248,16.411572,4.59524016,10.50340608,15.75510912,14.44218336,6.5646288,9.453065472,10.50340608,2.62585152,11.81633184,15.4056096,31.42327367,5.944025861,10.77429943,53.18351484,13.06773652,18.02051525,15.19643426,10.73138382,26.63775643,58.95036662,5.31712716,8.69312236,16.32780393,0.310976313,13.35124971,296.6944381,0.101865861,0,0,3.839777607,0.050926636,0,0,1.0507814,7.213909532,13.1292576,1.260390761,0.196359826,0.064225205,0,0,0.081618113,0,0,0.053902561,4328.538854,6056.526531,148.3606109,590.816592,0,9.847636425,0.98469432,0,1.379589631,5.119343049,20.71796849,5.119343049,4.92461756,0.222952571,0.51251714,0.009145841,2068.044153,13.1292576,10.64519011,5.90816592,0,2.62585152,2.62585152,3.93877728,0.787755456,3.416599396,15.75592917,0.068928602,88.65479281,39.39350779,0.118169568,68.9327309,48.62688,36.86,157.48,2.614499944,2.535839169,183.2653,92.09486166,39.739606,43.000735,,,0.304408133,0.664874524,1.953144366,2.512589884,1.267808518,4.185774957,0.599843982,2.81133974,2.639233452,0.141957309,1.533387419,0.411478892,,,,,,,,,,,,,,
3,1-3 weeks,B,broiler chicken DHA,S 1%,49.57,1338.39,3928.17465,114.9464608,41.38067662,692.1578777,32.39570184,446.6430767,307.8297,16.729875,4.684365,10.70712,16.06068,14.72229,6.69195,9.636408,10.70712,2.67678,12.04551,15.70440192,32.03272914,6.059310446,10.98326733,54.21501093,13.32118572,18.37002376,15.49116963,10.93951938,27.15439663,60.093711,5.420253023,8.861725765,16.64448225,0.317007709,13.61019766,302.4488368,0.103841553,0,0,3.914250225,0.05191436,0,0,1.071161342,7.353823554,13.3839,1.284836083,0.200168231,0.065470855,0,0,0.083201099,0,0,0.054948003,4412.491014,6173.99307,151.23807,602.2755,0,10.03863167,1.0037925,0,1.406346819,5.218632882,21.1197942,5.218632882,5.020130686,0.227276744,0.522457427,0.009323225,2108.15394,13.3839,10.85165394,6.022755,0,2.67678,2.67678,4.01517,0.803034,3.482864458,16.06151596,0.070265475,90.37425555,40.15754622,0.120461471,70.26968357,49.57,38.4,,2.822866163,2.349222812,804.9461,83.33333333,46.1927855,23.631035,,0.173101825,0.601408929,0.992205004,4.138156127,9.299113593,1.997938262,3.657164109,0.459,1.576,3.12,0.064,0.688,0.351,,,,,,,,,,,,,,
4,1-3 weeks,B,broiler chicken DHA,S 1%,54.47937,1470.94299,4317.217676,126.330659,45.4789831,760.7085963,35.60414418,490.8782214,338.3168877,18.38678738,5.148300465,11.76754392,17.65131588,16.18037289,7.35471495,10.59078953,11.76754392,2.94188598,13.23848691,17.25975233,35.20522297,6.659419321,12.07104065,59.5844188,14.64050445,20.18937506,17.02540169,12.02295993,29.84374462,66.04534025,5.957070203,9.739383434,18.2929374,0.348403879,14.95813988,332.4031085,0.11412593,0,0,4.301914188,0.057055914,0,0,1.177248236,8.082139889,14.7094299,1.412085139,0.21999272,0.071955032,0,0,0.091441264,0,0,0.060390006,4849.500314,6785.460013,166.2165579,661.9243455,0,11.03284908,1.103207243,0,1.545630194,5.735481777,23.21148038,5.735481777,5.517320094,0.249786036,0.574201159,0.010246589,2316.943686,14.7094299,11.92639238,6.619243455,0,2.94188598,2.94188598,4.41282897,0.882565794,3.827804347,17.65223463,0.077224507,99.32484379,44.13471493,0.132391871,77.22913236,54.47937,41.66,485.28,,2.545558771,268.19625,81.62055336,40.3519515,30.272075,,0.150700412,0.523758068,0.984240605,3.552698676,3.864045488,0.829352024,6.509990902,0.463,1.62,2.97,0.082,0.651,0.264,,,,,,,,,,,,,,
